,IP,Throughput(MB/s),IP in 32 bit
1668,200.14.50.24,1.21,11001000000011100011001000011000
1669,200.14.50.66,0.53,11001000000011100011001001000010
1670,200.14.52.7,0.6499999999999999,11001000000011100011010000000111
1671,200.14.52.70,0.35,11001000000011100011010001000110
1672,200.14.53.5,1.54,11001000000011100011010100000101
1673,200.14.53.68,0.48,11001000000011100011010101000100
1674,200.16.118.80,0.26,11001000000100000111011001010000
1675,200.16.86.48,0.59,11001000000100000101011000110000
1676,200.16.89.104,0.06,11001000000100000101100101101000
1677,200.234.201.118,0.16,11001000111010101100100101110110
1678,200.24.235.184,22.3,11001000000110001110101110111000
1679,200.255.81.165,0.07,11001000111111110101000110100101
1680,200.27.140.102,0.1,11001000000110111000110001100110
1681,200.27.19.142,0.42,11001000000110110001001110001110
1682,200.3.145.35,0.04,11001000000000111001000100100011
1683,200.3.149.136,0.21,11001000000000111001010110001000
1684,200.31.169.67,0.72,11001000000111111010100101000011
1685,200.31.174.232,0.11,11001000000111111010111011101000
1686,200.31.181.149,0.12,11001000000111111011010110010101
1687,200.32.73.80,1.14,11001000001000000100100101010000
1688,200.35.157.116,3.08,11001000001000111001110101110100
1689,200.4.169.181,15.5,11001000000001001010100110110101
1690,200.41.127.28,0.24,11001000001010010111111100011100
1691,200.41.82.20,1.47,11001000001010010101001000010100
1692,200.41.82.25,0.1,11001000001010010101001000011001
1693,200.45.54.34,0.08,11001000001011010011011000100010
1694,200.52.172.10,0.19,11001000001101001010110000001010
1695,200.52.255.15,0.03,11001000001101001111111100001111
1696,200.55.134.196,0.35,11001000001101111000011011000100
1697,200.55.139.216,0.5,11001000001101111000101111011000
1698,200.55.145.10,0.2,11001000001101111001000100001010
1699,200.55.179.26,0.2766666666666667,11001000001101111011001100011010
1700,200.58.110.192,0.16,11001000001110100110111011000000
1701,200.58.111.101,0.02,11001000001110100110111101100101
1702,200.58.112.94,0.3,11001000001110100111000001011110
1703,200.58.113.155,0.21,11001000001110100111000110011011
1704,200.58.77.90,0.84,11001000001110100100110101011010
1705,200.58.98.125,0.2,11001000001110100110001001111101
1706,200.68.60.233,0.09,11001000010001000011110011101001
1707,200.68.81.34,5.105,11001000010001000101000100100010
1708,200.7.160.189,1.245,11001000000001111010000010111101
1709,200.7.170.250,0.2,11001000000001111010101011111010
1710,200.7.221.104,0.06,11001000000001111101110101101000
1711,200.75.160.23,0.31,11001000010010111010000000010111
1712,200.89.73.24,0.47,11001000010110010100100100011000
1713,200.9.100.120,0.29,11001000000010010110010001111000
1714,200.9.115.9,1.08,11001000000010010111001100001001
1715,200.91.158.50,0.28,11001000010110111001111000110010
1716,200.91.208.167,0.39,11001000010110111101000010100111
1717,200.98.245.108,0.18,11001000011000101111010101101100
1718,201.116.100.156,0.05,11001001011101000110010010011100
1719,201.131.45.6,0.11,11001001100000110010110100000110
1720,201.131.58.18,0.13,11001001100000110011101000010010
1721,201.148.105.97,0.225,11001001100101000110100101100001
1722,201.190.14.132,0.48,11001001101111100000111010000100
1723,201.192.154.85,0.41,11001001110000001001101001010101
1724,201.192.160.188,1.21,11001001110000001010000010111100
1725,201.195.106.21,0.21,11001001110000110110101000010101
1726,201.195.230.177,0.2,11001001110000111110011010110001
1727,201.195.86.14,0.34,11001001110000110101011000001110
1728,201.201.87.193,0.32,11001001110010010101011111000001
1729,201.206.38.51,0.13,11001001110011100010011000110011
1730,201.207.97.4,0.19,11001001110011110110000100000100
1731,201.217.243.138,3.97,11001001110110011111001110001010
1732,201.220.222.230,0.17,11001001110111001101111011100110
1733,201.220.222.60,0.06,11001001110111001101111000111100
1734,201.224.45.203,0.1,11001001111000000010110111001011
1735,201.229.0.111,0.15,11001001111001010000000001101111
1736,201.229.0.18,6.304166666666666,11001001111001010000000000010010
1737,201.229.5.44,0.45,11001001111001010000010100101100
1738,201.248.73.219,0.24,11001001111110000100100111011011
1739,201.73.144.59,7.3,11001001010010011001000000111011
1740,202.1.195.140,0.44,11001010000000011100001110001100
1741,202.1.207.114,0.05,11001010000000011100111101110010
1742,202.1.207.51,3.12,11001010000000011100111100110011
1743,202.1.207.53,0.0925,11001010000000011100111100110101
1744,202.123.181.67,1.42,11001010011110111011010101000011
1745,202.123.27.136,24.75,11001010011110110001101110001000
1746,202.123.27.180,2.26,11001010011110110001101110110100
1747,202.131.248.183,2.04,11001010100000111111100010110111
1748,202.131.251.72,0.36,11001010100000111111101101001000
1749,202.144.128.145,0.88,11001010100100001000000010010001
1750,202.144.128.151,0.76,11001010100100001000000010010111
1751,202.144.128.216,0.21,11001010100100001000000011011000
1752,202.144.128.217,0.1,11001010100100001000000011011001
1753,202.144.146.196,0.13,11001010100100001001001011000100
1754,202.144.148.130,25.8,11001010100100001001010010000010
1755,202.144.151.34,0.11,11001010100100001001011100100010
1756,202.144.155.66,0.3,11001010100100001001101101000010
1757,202.144.157.210,1.49,11001010100100001001110111010010
1758,202.144.158.235,1.25,11001010100100001001111011101011
1759,202.152.82.205,0.16,11001010100110000101001011001101
1760,202.152.92.202,0.1,11001010100110000101110011001010
1761,202.157.130.252,0.04,11001010100111011000001011111100
1762,202.160.1.57,0.26,11001010101000000000000100111001
1763,202.160.6.1,0.225,11001010101000000000011000000001
1764,202.166.193.69,0.18,11001010101001101100000101000101
1765,202.171.65.16,0.29,11001010101010110100000100010000
1766,202.171.68.68,0.55,11001010101010110100010001000100
1767,202.171.68.87,0.26,11001010101010110100010001010111
1768,202.175.110.84,0.89,11001010101011110110111001010100
1769,202.175.116.83,0.275,11001010101011110111010001010011
1770,202.175.122.84,0.5499999999999999,11001010101011110111101001010100
1771,202.175.13.100,0.12,11001010101011110000110101100100
1772,202.175.186.10,0.28,11001010101011111011101000001010
1773,202.175.19.185,0.15,11001010101011110001001110111001
1774,202.175.27.198,0.12,11001010101011110001101111000110
1775,202.175.27.204,0.38,11001010101011110001101111001100
1776,202.175.27.218,1.98,11001010101011110001101111011010
1777,202.175.50.83,0.13,11001010101011110011001001010011
1778,202.175.60.52,0.07,11001010101011110011110000110100
1779,202.175.73.90,0.17,11001010101011110100100101011010
1780,202.175.81.169,0.12,11001010101011110101000110101001
1781,202.175.86.13,0.18,11001010101011110101011000001101
1782,202.175.87.46,0.18,11001010101011110101011100101110
1783,202.175.98.161,0.46,11001010101011110110001010100001
1784,202.21.186.162,26.2,11001010000101011011101010100010
1785,202.210.190.118,0.13,11001010110100101011111001110110
1786,202.218.18.6,8.92,11001010110110100001001000000110
1787,202.22.232.10,0.34,11001010000101101110100000001010
1788,202.22.233.34,0.105,11001010000101101110100100100010
1789,202.222.240.63,22.8,11001010110111101111000000111111
1790,202.254.236.90,0.47,11001010111111101110110001011010
1791,202.3.229.213,0.135,11001010000000111110010111010101
1792,202.3.237.221,0.16,11001010000000111110110111011101
1793,202.3.238.202,0.34,11001010000000111110111011001010
1794,202.3.238.27,0.13,11001010000000111110111000011011
1795,202.3.238.86,0.33,11001010000000111110111001010110
1796,202.4.96.132,1.905,11001010000001000110000010000100
1797,202.45.144.31,0.28,11001010001011011001000000011111
1798,202.45.146.79,0.19,11001010001011011001001001001111
1799,202.52.146.21,38.0,11001010001101001001001000010101
1800,202.53.23.217,0.36,11001010001101010001011111011001
1801,202.53.73.167,0.53,11001010001101010100100110100111
1802,202.59.135.13,0.17,11001010001110111000011100001101
1803,202.62.118.46,0.575,11001010001111100111011000101110
1804,202.62.120.61,0.2,11001010001111100111100000111101
1805,202.63.240.150,0.105,11001010001111111111000010010110
1806,202.63.240.21,0.49,11001010001111111111000000010101
1807,202.65.131.190,22.7,11001010010000011000001110111110
1808,202.65.32.215,0.075,11001010010000010010000011010111
1809,202.75.5.131,0.385,11001010010010110000010110000011
1810,202.75.5.22,0.1,11001010010010110000010100010110
1811,202.75.7.33,0.34,11001010010010110000011100100001
1812,202.81.5.115,0.03,11001010010100010000010101110011
1813,202.84.39.37,8.57,11001010010101000010011100100101
1814,202.84.39.41,0.14,11001010010101000010011100101001
1815,202.86.179.215,0.21,11001010010101101011001111010111
1816,202.90.69.92,0.28,11001010010110100100010101011100
1817,202.93.217.225,0.29,11001010010111011101100111100001
1818,202.93.217.226,0.19,11001010010111011101100111100010
1819,202.94.83.37,0.08,11001010010111100101001100100101
1820,203.101.184.122,0.125,11001011011001011011100001111010
1821,203.101.184.123,0.8,11001011011001011011100001111011
1822,203.104.254.163,0.17,11001011011010001111111010100011
1823,203.104.27.58,0.56,11001011011010000001101100111010
1824,203.124.103.1,1.88,11001011011111000110011100000001
1825,203.124.44.55,0.08,11001011011111000010110000110111
1826,203.125.12.202,6.32,11001011011111010000110011001010
1827,203.128.26.214,0.18,11001011100000000001101011010110
1828,203.135.149.185,0.6,11001011100001111001010110111001
1829,203.141.142.11,0.2,11001011100011011000111000001011
1830,203.146.43.4,0.1,11001011100100100010101100000100
1831,203.15.147.66,0.315,11001011000011111001001101000010
1832,203.154.32.140,0.58,11001011100110100010000010001100
1833,203.16.41.149,0.22,11001011000100000010100110010101
1834,203.160.128.6,0.24,11001011101000001000000000000110
1835,203.180.216.224,0.45,11001011101101001101100011100000
1836,203.182.144.140,0.18,11001011101101101001000010001100
1837,203.183.230.159,0.16,11001011101101111110011010011111
1838,203.217.168.41,0.34,11001011110110011010100000101001
1839,203.223.32.44,0.1,11001011110111110010000000101100
1840,203.27.235.25,3.48,11001011000110111110101100011001
1841,203.31.183.134,0.06,11001011000111111011011110000110
1842,203.80.1.68,0.33,11001011010100000000000101000100
1843,203.81.81.152,0.13,11001011010100010101000110011000
1844,203.81.81.169,0.3,11001011010100010101000110101001
1845,203.81.89.147,0.15,11001011010100010101100110010011
1846,203.90.226.30,0.34,11001011010110101110001000011110
1847,204.12.60.145,3.83,11001100000011000011110010010001
1848,204.16.203.129,0.23,11001100000100001100101110000001
1849,204.187.39.27,0.5,11001100101110110010011100011011
1850,204.197.250.111,14.9,11001100110001011111101001101111
1851,204.232.170.155,1.97,11001100111010001010101010011011
1852,204.44.192.65,0.87,11001100001011001100000001000001
1853,205.140.170.132,0.19,11001101100011001010101010000100
1854,205.144.171.27,0.25,11001101100100001010101100011011
1855,205.186.138.245,0.21,11001101101110101000101011110101
1856,205.186.175.184,28.3,11001101101110101010111110111000
1857,205.186.179.144,0.22,11001101101110101011001110010000
1858,205.214.221.82,0.28,11001101110101101101110101010010
1859,206.188.192.19,0.39,11001110101111001100000000010011
1860,206.188.192.200,0.29,11001110101111001100000011001000
1861,206.189.162.117,18.0,11001110101111011010001001110101
1862,206.207.50.23,0.25,11001110110011110011001000010111
1863,206.214.22.69,0.465,11001110110101100001011001000101
1864,206.214.22.70,0.33,11001110110101100001011001000110
1865,206.214.220.225,0.06,11001110110101101101110011100001
1866,206.225.80.29,0.79,11001110111000010101000000011101
1867,207.174.215.215,0.46,11001111101011101101011111010111
1868,207.180.202.253,41.1,11001111101101001100101011111101
1869,207.180.224.99,0.55,11001111101101001110000001100011
1870,207.180.249.180,6.125,11001111101101001111100110110100
1871,207.180.252.169,2.42,11001111101101001111110010101001
1872,207.38.116.103,0.92,11001111001001100111010001100111
1873,207.38.86.214,0.64,11001111001001100101011011010110
1874,207.45.177.187,21.5,11001111001011011011000110111011
1875,207.45.178.29,0.27,11001111001011011011001000011101
1876,207.55.255.20,6.91,11001111001101111111111100010100
1877,207.7.88.128,0.76,11001111000001110101100010000000
1878,208.113.153.175,0.69,11010000011100011001100110101111
1879,208.113.155.28,23.5,11010000011100011001101100011100
1880,208.113.168.176,3.24,11010000011100011010100010110000
1881,208.113.180.158,1.33,11010000011100011011010010011110
1882,208.118.246.212,0.39,11010000011101101111011011010100
1883,208.118.63.30,0.46,11010000011101100011111100011110
1884,208.138.35.140,0.83,11010000100010100010001110001100
1885,208.87.34.100,0.39,11010000010101110010001001100100
1886,208.88.73.29,0.56,11010000010110000100100100011101
1887,208.88.76.71,0.43,11010000010110000100110001000111
1888,208.90.113.114,1.33,11010000010110100111000101110010
1889,208.91.198.26,13.7,11010000010110111100011000011010
1890,208.91.198.88,1.09,11010000010110111100011001011000
1891,208.91.199.89,1.12,11010000010110111100011101011001
1892,208.97.148.55,0.45,11010000011000011001010000110111
1893,209.10.74.144,0.63,11010001000010100100101010010000
1894,209.124.66.12,5.8900000000000015,11010001011111000100001000001100
1895,209.124.66.247,20.0,11010001011111000100001011110111
1896,209.133.203.221,4.91,11010001100001011100101111011101
1897,209.133.204.91,0.71,11010001100001011100110001011011
1898,209.133.217.231,0.21,11010001100001011101100111100111
1899,209.17.116.2,0.43,11010001000100010111010000000010
1900,209.182.211.194,0.55,11010001101101101101001111000010
1901,209.188.15.185,2.32,11010001101111000000111110111001
1902,209.197.126.118,0.5,11010001110001010111111001110110
1903,209.200.152.23,0.08,11010001110010001001100000010111
1904,209.213.97.146,0.56,11010001110101010110000110010010
1905,209.237.151.17,0.28,11010001111011011001011100010001
1906,209.251.252.194,0.145,11010001111110111111110011000010
1907,209.27.55.215,0.33,11010001000110110011011111010111
1908,209.45.65.244,0.57,11010001001011010100000111110100
1909,209.59.134.58,0.37333333333333335,11010001001110111000011000111010
1910,209.59.175.135,0.5,11010001001110111010111110000111
1911,209.88.21.109,0.38,11010001010110000001010101101101
1912,209.94.90.1,2.31,11010001010111100101101000000001
1913,209.99.16.119,18.7,11010001011000110001000001110111
1914,209.99.16.20,0.68,11010001011000110001000000010100
1915,209.99.16.94,4.28,11010001011000110001000001011110
1916,210.115.225.13,0.17,11010010011100111110000100001101
1917,210.128.210.226,0.24,11010010100000001101001011100010
1918,210.134.165.9,0.06,11010010100001101010010100001001
1919,210.146.67.5,2.21,11010010100100100100001100000101
1920,210.167.18.219,0.46,11010010101001110001001011011011
1921,210.172.183.49,0.12,11010010101011001011011100110001
1922,210.188.245.67,0.12,11010010101111001111010101000011
1923,210.226.39.90,0.15,11010010111000100010011101011010
1924,210.233.74.155,0.1,11010010111010010100101010011011
1925,210.233.74.165,0.11,11010010111010010100101010100101
1926,210.34.0.71,0.06,11010010001000100000000001000111
1927,210.48.107.142,0.11,11010010001100000110101110001110
1928,210.48.11.101,0.2,11010010001100000000101101100101
1929,210.48.11.99,0.485,11010010001100000000101101100011
1930,210.5.50.137,1.14,11010010000001010011001010001001
1931,210.56.11.83,0.2,11010010001110000000101101010011
1932,210.65.138.74,0.15,11010010010000011000101001001010
1933,210.68.23.237,0.28,11010010010001000001011111101101
1934,210.96.133.183,0.19,11010010011000001000010110110111
1935,211.172.247.17,0.15,11010011101011001111011100010001
1936,211.24.233.187,0.2,11010011000110001110100110111011
1937,211.253.29.47,0.15,11010011111111010001110100101111
1938,211.8.19.240,0.18,11010011000010000001001111110000
1939,212.0.100.166,2.02,11010100000000000110010010100110
1940,212.1.210.113,0.94,11010100000000011101001001110001
1941,212.1.212.12,0.62,11010100000000011101010000001100
1942,212.100.255.225,3.79,11010100011001001111111111100001
1943,212.101.13.253,0.51,11010100011001010000110111111101
1944,212.108.234.35,6.92,11010100011011001110101000100011
1945,212.109.220.206,1.14,11010100011011011101110011001110
1946,212.121.182.98,0.63,11010100011110011011011001100010
1947,212.122.184.84,0.43,11010100011110101011100001010100
1948,212.122.185.249,0.63,11010100011110101011100111111001
1949,212.122.186.115,1.68,11010100011110101011101001110011
1950,212.123.20.125,11.0,11010100011110110001010001111101
1951,212.129.29.9,5.6,11010100100000010001110100001001
1952,212.129.45.189,3.85,11010100100000010010110110111101
1953,212.129.9.241,2.65,11010100100000010000100111110001
1954,212.138.117.171,0.53,11010100100010100111010110101011
1955,212.17.177.2,5.705000000000001,11010100000100011011000100000010
1956,212.174.189.120,0.06,11010100101011101011110101111000
1957,212.179.115.166,0.67,11010100101100110111001110100110
1958,212.18.226.114,3.01,11010100000100101110001001110010
1959,212.18.231.204,17.1,11010100000100101110011111001100
1960,212.211.191.99,5.77,11010100110100111011111101100011
1961,212.217.30.21,5.17,11010100110110010001111000010101
1962,212.227.247.139,4.61,11010100111000111111011110001011
1963,212.227.247.177,2.96,11010100111000111111011110110001
1964,212.237.233.29,9.755,11010100111011011110100100011101
1965,212.25.165.237,0.32,11010100000110011010010111101101
1966,212.27.63.100,1.99,11010100000110110011111101100100
1967,212.27.63.102,0.2,11010100000110110011111101100110
1968,212.27.63.106,4.03,11010100000110110011111101101010
1969,212.27.63.108,4.05,11010100000110110011111101101100
1970,212.27.63.112,0.53,11010100000110110011111101110000
1971,212.27.63.114,3.56,11010100000110110011111101110010
1972,212.27.63.116,3.08,11010100000110110011111101110100
1973,212.27.63.127,0.64,11010100000110110011111101111111
1974,212.27.63.153,1.1,11010100000110110011111110011001
1975,212.27.63.154,2.553333333333333,11010100000110110011111110011010
1976,212.30.8.93,3.24,11010100000111100000100001011101
1977,212.32.231.235,3.97,11010100001000001110011111101011
1978,212.32.234.201,3.54,11010100001000001110101011001001
1979,212.32.255.144,2.45,11010100001000001111111110010000
1980,212.35.78.193,0.43,11010100001000110100111011000001
1981,212.39.9.15,0.19,11010100001001110000100100001111
1982,212.42.111.161,0.24,11010100001010100110111110100001
1983,212.42.119.26,0.24,11010100001010100111011100011010
1984,212.42.201.172,0.58,11010100001010101100100110101100
1985,212.44.104.12,0.52,11010100001011000110100000001100
1986,212.47.208.131,0.23,11010100001011111101000010000011
1987,212.52.129.112,5.8,11010100001101001000000101110000
1988,212.52.129.115,4.04,11010100001101001000000101110011
1989,212.52.142.20,0.16,11010100001101001000111000010100
1990,212.52.142.32,0.21,11010100001101001000111000100000
1991,212.55.51.212,1.11,11010100001101110011001111010100
1992,212.55.53.48,0.435,11010100001101110011010100110000
1993,212.56.128.202,0.34,11010100001110001000000011001010
1994,212.60.67.100,0.01,11010100001111000100001101100100
1995,212.64.26.74,0.42,11010100010000000001101001001010
1996,212.7.67.30,0.98,11010100000001110100001100011110
1997,212.70.170.5,1.67,11010100010001101010101000000101
1998,212.72.1.236,0.27,11010100010010000000000111101100
1999,212.72.207.6,0.46,11010100010010001100111100000110
2000,212.77.202.11,0.3,11010100010011011100101000001011
2001,212.77.209.78,0.38,11010100010011011101000101001110
2002,212.77.4.144,3.88,11010100010011010000010010010000
2003,212.77.4.171,2.57,11010100010011010000010010101011
2004,212.77.5.67,0.55,11010100010011010000010101000011
2005,212.85.153.5,0.97,11010100010101011001100100000101
2006,212.9.188.169,2.83,11010100000010011011110010101001
2007,212.95.36.177,15.45,11010100010111110010010010110001
2008,212.98.183.186,1.08,11010100011000101011011110111010
2009,213.108.110.59,3.84,11010101011011000110111000111011
2010,213.13.65.196,0.74,11010101000011010100000111000100
2011,213.131.42.72,1.37,11010101100000110010101001001000
2012,213.133.105.143,7.48,11010101100001010110100110001111
2013,213.134.60.149,1.315,11010101100001100011110010010101
2014,213.136.64.187,4.05,11010101100010000100000010111011
2015,213.136.69.143,14.8,11010101100010000100010110001111
2016,213.136.73.64,5.84,11010101100010000100100101000000
2017,213.136.90.110,6.3599999999999985,11010101100010000101101001101110
2018,213.145.139.30,1.01,11010101100100011000101100011110
2019,213.145.224.140,1.92,11010101100100011110000010001100
2020,213.145.225.130,0.74,11010101100100011110000110000010
2021,213.145.228.120,0.33,11010101100100011110010001111000
2022,213.150.194.64,0.73,11010101100101101100001001000000
2023,213.150.196.36,5.01875,11010101100101101100010000100100
2024,213.150.196.37,0.8,11010101100101101100010000100101
2025,213.157.205.164,0.5433333333333333,11010101100111011100110110100100
2026,213.157.206.35,0.32,11010101100111011100111000100011
2027,213.157.215.232,9.94,11010101100111011101011111101000
2028,213.158.166.78,16.1,11010101100111101010011001001110
2029,213.16.19.4,0.05,11010101000100000001001100000100
2030,213.16.42.100,0.41,11010101000100000010101001100100
2031,213.160.139.38,0.16,11010101101000001000101100100110
2032,213.161.244.190,0.79,11010101101000011111010010111110
2033,213.169.137.45,10.2375,11010101101010011000100100101101
2034,213.169.148.153,0.62,11010101101010011001010010011001
2035,213.175.217.43,8.98,11010101101011111101100100101011
2036,213.177.4.187,1.71,11010101101100010000010010111011
2037,213.178.2.70,4.03,11010101101100100000001001000110
2038,213.178.225.76,0.54,11010101101100101110000101001100
2039,213.178.227.217,0.24,11010101101100101110001111011001
2040,213.178.227.73,0.29,11010101101100101110001101001001
2041,213.179.181.44,0.06,11010101101100111011010100101100
2042,213.184.42.41,2.105,11010101101110000010101000101001
2043,213.186.164.2,0.77,11010101101110101010010000000010
2044,213.186.33.16,25.3875,11010101101110100010000100010000
2045,213.186.33.168,1.675,11010101101110100010000110101000
2046,213.186.33.17,1.892,11010101101110100010000100010001
2047,213.186.33.186,1.51,11010101101110100010000110111010
2048,213.186.33.19,0.46,11010101101110100010000100010011
2049,213.186.33.2,4.4,11010101101110100010000100000010
2050,213.186.33.3,10.083333333333334,11010101101110100010000100000011
2051,213.186.33.4,8.658333333333333,11010101101110100010000100000100
2052,213.186.33.40,4.788333333333333,11010101101110100010000100101000
2053,213.186.33.50,28.2,11010101101110100010000100110010
2054,213.186.33.82,5.18,11010101101110100010000101010010
2055,213.186.33.97,0.62,11010101101110100010000101100001
2056,213.188.172.77,0.07500000000000001,11010101101111001010110001001101
2057,213.191.128.17,21.3,11010101101111111000000000010001
2058,213.202.101.114,0.46,11010101110010100110010101110010
2059,213.204.35.135,2.3,11010101110011000010001110000111
2060,213.204.35.136,0.56,11010101110011000010001110001000
2061,213.212.113.33,2.11,11010101110101000111000100100001
2062,213.212.253.226,1.555,11010101110101001111110111100010
2063,213.212.255.27,0.26,11010101110101001111111100011011
2064,213.226.224.3,0.66,11010101111000101110000000000011
2065,213.227.161.25,0.21,11010101111000111010000100011001
2066,213.230.109.200,0.15,11010101111001100110110111001000
2067,213.239.218.145,0.19,11010101111011111101101010010001
2068,213.240.249.40,0.49,11010101111100001111100100101000
2069,213.246.57.95,4.1,11010101111101100011100101011111
2070,213.249.70.29,27.2,11010101111110010100011000011101
2071,213.55.101.26,0.37,11010101001101110110010100011010
2072,213.55.103.150,1.47,11010101001101110110011110010110
2073,213.55.103.168,0.32,11010101001101110110011110101000
2074,213.55.76.169,0.04,11010101001101110100110010101001
2075,213.55.84.78,0.11,11010101001101110101010001001110
2076,213.55.85.92,0.08,11010101001101110101010101011100
2077,213.55.89.175,0.15,11010101001101110101100110101111
2078,213.55.92.105,0.18,11010101001101110101110001101001
2079,213.55.96.152,0.53,11010101001101110110000010011000
2080,213.55.98.10,0.73,11010101001101110110001000001010
2081,216.108.231.13,1.2950000000000002,11011000011011001110011100001101
2082,216.120.252.126,0.9566666666666668,11011000011110001111110001111110
2083,216.144.236.93,0.32,11011000100100001110110001011101
2084,216.144.83.10,0.46,11011000100100000101001100001010
2085,216.146.203.48,0.88,11011000100100101100101100110000
2086,216.152.163.58,0.12,11011000100110001010001100111010
2087,216.172.160.214,0.42,11011000101011001010000011010110
2088,216.172.169.110,0.22,11011000101011001010100101101110
2089,216.172.38.196,0.28,11011000101011000010011011000100
2090,216.187.102.62,1.05,11011000101110110110011000111110
2091,216.187.94.181,0.25,11011000101110110101111010110101
2092,216.194.169.168,1.03,11011000110000101010100110101000
2093,216.211.130.33,0.44,11011000110100111000001000100001
2094,216.237.118.130,0.56,11011000111011010111011010000010
2095,216.237.127.202,0.1,11011000111011010111111111001010
2096,216.239.139.33,17.0,11011000111011111000101100100001
2097,216.239.34.117,11.0,11011000111011110010001001110101
2098,216.239.38.117,7.285,11011000111011110010011001110101
2099,216.240.135.125,0.11,11011000111100001000011101111101
2100,216.240.135.142,0.36,11011000111100001000011110001110
2101,216.249.47.113,0.37,11011000111110010010111101110001
2102,216.250.120.227,0.22,11011000111110100111100011100011
2103,216.250.120.62,0.31,11011000111110100111100000111110
2104,216.250.120.74,40.4,11011000111110100111100001001010
2105,216.55.105.147,1.324,11011000001101110110100110010011
2106,216.55.105.94,6.63,11011000001101110110100101011110
2107,216.55.185.46,2.15,11011000001101111011100100101110
2108,216.58.210.195,0.87,11011000001110101101001011000011
2109,216.59.56.71,0.87,11011000001110110011100001000111
2110,216.87.164.53,0.94,11011000010101111010010000110101
2111,217.11.176.157,0.12,11011001000010111011000010011101
2112,217.11.62.4,2.13,11011001000010110011111000000100
2113,217.113.2.231,0.32,11011001011100010000001011100111
2114,217.114.90.153,1.78,11011001011100100101101010011001
2115,217.115.113.32,8.97,11011001011100110111000100100000
2116,217.116.232.207,0.08,11011001011101001110100011001111
2117,217.139.241.10,2.13,11011001100010111111000100001010
2118,217.14.97.20,0.35,11011001000011100110000100010100
2119,217.146.69.10,5.04,11011001100100100100010100001010
2120,217.146.69.11,1.05,11011001100100100100010100001011
2121,217.146.69.12,1.34,11011001100100100100010100001100
2122,217.146.69.16,0.63,11011001100100100100010100010000
2123,217.146.69.2,0.62,11011001100100100100010100000010
2124,217.146.69.24,0.63,11011001100100100100010100011000
2125,217.146.69.3,3.84,11011001100100100100010100000011
2126,217.146.69.30,1.07,11011001100100100100010100011110
2127,217.146.69.38,0.75,11011001100100100100010100100110
2128,217.146.69.5,3.02,11011001100100100100010100000101
2129,217.146.69.6,0.71,11011001100100100100010100000110
2130,217.146.95.116,1.94,11011001100100100101111101110100
2131,217.147.225.138,0.27,11011001100100111110000110001010
2132,217.147.235.83,0.25,11011001100100111110101101010011
2133,217.147.239.8,0.21,11011001100100111110111100001000
2134,217.148.123.79,0.08,11011001100101000111101101001111
2135,217.16.11.170,1.1,11011001000100000000101110101010
2136,217.16.95.77,0.315,11011001000100000101111101001101
2137,217.160.0.124,7.82,11011001101000000000000001111100
2138,217.160.0.14,3.41,11011001101000000000000000001110
2139,217.160.0.143,2.35,11011001101000000000000010001111
2140,217.160.0.145,0.74,11011001101000000000000010010001
2141,217.160.0.151,11.1,11011001101000000000000010010111
2142,217.160.0.153,5.38,11011001101000000000000010011001
2143,217.160.0.164,4.52,11011001101000000000000010100100
2144,217.160.0.169,0.93,11011001101000000000000010101001
2145,217.160.0.188,1.3,11011001101000000000000010111100
2146,217.160.0.189,0.86,11011001101000000000000010111101
2147,217.160.0.29,0.98,11011001101000000000000000011101
2148,217.160.0.4,3.79,11011001101000000000000000000100
2149,217.160.0.60,25.9,11011001101000000000000000111100
2150,217.160.0.90,10.2,11011001101000000000000001011010
2151,217.160.0.97,9.635,11011001101000000000000001100001
2152,217.160.15.205,4.6,11011001101000000000111111001101
2153,217.160.223.218,1.15,11011001101000001101111111011010
2154,217.160.223.236,19.3,11011001101000001101111111101100
2155,217.160.223.30,16.3,11011001101000001101111100011110
2156,217.160.230.164,0.405,11011001101000001110011010100100
2157,217.160.231.194,3.11,11011001101000001110011111000010
2158,217.182.108.90,1.04,11011001101101100110110001011010
2159,217.182.22.63,1.68,11011001101101100001011000111111
2160,217.199.135.179,0.06,11011001110001111000011110110011
2161,217.199.187.191,4.13,11011001110001111011101110111111
2162,217.21.43.3,2.84,11011001000101010010101100000011
2163,217.222.185.200,17.3,11011001110111101011100111001000
2164,217.26.145.211,1.05,11011001000110101001000111010011
2165,217.26.145.220,0.875,11011001000110101001000111011100
2166,217.26.145.221,1.48,11011001000110101001000111011101
2167,217.26.52.26,1.41,11011001000110100011010000011010
2168,217.26.52.52,1.025,11011001000110100011010000110100
2169,217.26.61.97,30.7,11011001000110100011110101100001
2170,217.30.107.245,0.6975,11011001000111100110101111110101
2171,217.30.107.246,0.09,11011001000111100110101111110110
2172,217.30.107.251,1.84,11011001000111100110101111111011
2173,217.64.195.236,1.46,11011001010000001100001111101100
2174,217.66.59.100,0.21,11011001010000100011101101100100
2175,217.7.50.213,18.295,11011001000001110011001011010101
2176,217.70.190.203,7.2,11011001010001101011111011001011
2177,217.71.177.192,0.56,11011001010001111011000111000000
2178,217.71.177.220,0.76,11011001010001111011000111011100
2179,217.71.177.248,0.125,11011001010001111011000111111000
2180,217.73.131.5,2.93,11011001010010011000001100000101
2181,217.73.132.21,1.69,11011001010010011000010000010101
