,IP,Throughput(MB/s),IP in 32 bit
234,104.72.182.7,0.53,01101000010010001011011000000111
235,104.72.183.237,21.605,01101000010010001011011111101101
236,104.82.105.137,0.26,01101000010100100110100110001001
237,104.82.125.181,2.33,01101000010100100111110110110101
238,104.84.244.188,4.54,01101000010101001111010010111100
239,104.86.110.35,13.1,01101000010101100110111000100011
240,104.86.128.177,1.265,01101000010101101000000010110001
241,104.89.64.60,0.09,01101000010110010100000000111100
242,105.174.31.162,0.07,01101001101011100001111110100010
243,105.235.105.149,0.43,01101001111010110110100110010101
244,105.73.0.20,0.45,01101001010010010000000000010100
245,106.39.41.38,0.03,01101010001001110010100100100110
246,106.48.58.48,0.19,01101010001100000011101000110000
247,107.151.3.34,2.83,01101011100101110000001100100010
248,107.151.6.226,0.3,01101011100101110000011011100010
249,107.154.112.141,1.49,01101011100110100111000010001101
250,107.154.130.27,0.48,01101011100110101000001000011011
251,107.154.146.252,2.17,01101011100110101001001011111100
252,107.154.155.218,2.04,01101011100110101001101111011010
253,107.154.164.247,0.86,01101011100110101010010011110111
254,107.154.80.62,0.42,01101011100110100101000000111110
255,107.161.177.234,0.8,01101011101000011011000111101010
256,107.161.179.202,0.9,01101011101000011011001111001010
257,107.170.211.234,0.5,01101011101010101101001111101010
258,107.180.0.12,5.2200000000000015,01101011101101000000000000001100
259,107.180.0.85,2.11,01101011101101000000000001010101
260,107.180.1.8,13.0,01101011101101000000000100001000
261,107.180.12.32,31.8,01101011101101000000110000100000
262,107.180.2.168,0.5800000000000001,01101011101101000000001010101000
263,107.180.20.90,0.29,01101011101101000001010001011010
264,107.180.28.182,1.61,01101011101101000001110010110110
265,107.180.3.214,21.7,01101011101101000000001111010110
266,107.180.4.157,0.6,01101011101101000000010010011101
267,107.180.40.116,10.6,01101011101101000010100001110100
268,107.180.40.28,0.76,01101011101101000010100000011100
269,107.180.41.246,2.79,01101011101101000010100111110110
270,107.180.41.42,0.32,01101011101101000010100100101010
271,107.180.46.222,11.9,01101011101101000010111011011110
272,107.180.47.57,6.905,01101011101101000010111100111001
273,107.180.51.78,13.6,01101011101101000011001101001110
274,107.180.69.106,1.05,01101011101101000100010101101010
275,107.180.92.246,0.66,01101011101101000101110011110110
276,107.190.130.47,3.47,01101011101111101000001000101111
277,107.190.136.210,1.17,01101011101111101000100011010010
278,107.190.143.58,0.56,01101011101111101000111100111010
279,107.6.42.122,0.33,01101011000001100010101001111010
280,108.160.152.6,0.64,01101100101000001001100000000110
281,108.163.138.139,2.48,01101100101000111000101010001011
282,108.167.133.12,2.41,01101100101001111000010100001100
283,108.167.141.196,0.37,01101100101001111000110111000100
284,108.167.141.212,0.32,01101100101001111000110111010100
285,108.167.146.50,16.4,01101100101001111001001000110010
286,108.167.158.96,0.84,01101100101001111001111001100000
287,108.167.165.122,0.33,01101100101001111010010101111010
288,108.167.172.116,3.04,01101100101001111010110001110100
289,108.167.172.151,1.08,01101100101001111010110010010111
290,108.167.180.194,4.86,01101100101001111011010011000010
291,108.170.2.114,0.36,01101100101010100000001001110010
292,108.178.41.170,4.0,01101100101100100010100110101010
293,108.179.200.145,3.3100000000000005,01101100101100111100100010010001
294,108.179.235.11,0.5,01101100101100111110101100001011
295,108.179.243.199,0.28,01101100101100111111001111000111
296,108.60.224.27,0.25,01101100001111001110000000011011
297,108.60.228.89,0.34,01101100001111001110010001011001
298,109.108.140.33,13.599999999999998,01101101011011001000110000100001
299,109.110.225.50,1.51,01101101011011101110000100110010
300,109.111.112.8,10.0,01101101011011110111000000001000
301,109.111.117.171,0.28,01101101011011110111010110101011
302,109.120.162.9,0.54,01101101011110001010001000001001
303,109.123.223.93,23.4,01101101011110111101111101011101
304,109.199.119.127,39.1,01101101110001110111011101111111
305,109.199.120.184,3.22,01101101110001110111100010111000
306,109.203.107.105,6.66,01101101110010110110101101101001
307,109.204.229.101,2.16,01101101110011001110010101100101
308,109.205.33.207,6.3,01101101110011010010000111001111
309,109.205.44.7,6.295,01101101110011010010110000000111
310,109.234.160.17,3.67,01101101111010101010000000010001
311,109.234.160.30,2.5,01101101111010101010000000011110
312,109.234.161.36,3.06,01101101111010101010000100100100
313,109.234.164.43,0.4,01101101111010101010010000101011
314,109.234.165.83,0.91,01101101111010101010010101010011
315,109.235.63.32,4.82,01101101111010110011111100100000
316,109.235.64.196,0.53,01101101111010110100000011000100
317,109.239.227.22,0.79,01101101111011111110001100010110
318,109.247.157.217,1.88,01101101111101111001110111011001
319,109.68.124.195,0.44,01101101010001000111110011000011
320,109.71.42.236,4.58,01101101010001110010101011101100
321,109.71.42.89,1.25,01101101010001110010101001011001
322,109.71.43.43,0.06,01101101010001110010101100101011
323,109.73.160.162,1.28,01101101010010011010000010100010
324,109.73.166.3,0.56,01101101010010011010011000000011
325,109.73.225.215,0.71,01101101010010011110000111010111
326,109.75.172.173,2.09,01101101010010111010110010101101
327,110.164.130.249,0.83,01101110101001001000001011111001
328,110.35.83.27,0.35,01101110001000110101001100011011
329,110.4.40.46,0.26,01101110000001000010100000101110
330,110.4.45.61,1.2,01101110000001000010110100111101
331,111.118.215.210,0.17,01101111011101101101011111010010
332,112.109.66.156,18.5,01110000011011010100001010011100
333,112.175.184.89,0.49,01110000101011111011100001011001
334,112.213.89.70,8.05,01110000110101010101100101000110
335,112.78.112.48,0.17,01110000010011100111000000110000
336,113.197.35.61,0.23,01110001110001010010001100111101
